Finding_ID,Title,Description,Risk_Level,Category,CVSS_Score,Evidence,Mitigation,Status,Created_Date,Assigned_To
REPORT_METADATA,Privileged Rapper Inc. Export - 2025-11-10 19:15:22,Generated by: analyst,N/A,Export,N/A,Total findings: 1240,CONFIDENTIAL - PRIVILEGED RAPPER INC.,COMPLETED,N/A,SYSTEM
69120ed6bb4f4be5ac4c1d46,Token Integrity Level Check,Verify process token integrity levels manually,medium,token_manipulation,5.5,Manual verification required for token integrity levels,Ensure processes run with appropriate integrity levels,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d47,Unquoted Service Path: Appinfo,Service Appinfo has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: Appinfo
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 3   DEMAND_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\system32\svchost.exe -k netsvcs -p
        LOAD_ORDER_GROUP   : 
        TAG                : 0
        DISPLAY_NAME       : Application Information
        DEPENDENCIES       : RpcSs
                           : ProfSvc
        SERVICE_START_NAME : LocalSystem
",Add quotes to service path for Appinfo,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d48,Unquoted Service Path: AppXSvc,Service AppXSvc has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: AppXSvc
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 3   DEMAND_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\system32\svchost.exe -k wsappx -p
        LOAD_ORDER_GROUP   : 
        TAG                : 0
        DISPLAY_NAME       : AppX Deployment Service (AppXSVC)
        DEPENDENCIES       : rpcss
                           : staterepository
        SERVICE_START_NAME ",Add quotes to service path for AppXSvc,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d49,Unquoted Service Path: AudioEndpointBuilder,Service AudioEndpointBuilder has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: AudioEndpointBuilder
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 2   AUTO_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p
        LOAD_ORDER_GROUP   : AudioGroup
        TAG                : 0
        DISPLAY_NAME       : Windows Audio Endpoint Builder
        DEPENDENCIES       : 
        SERVICE_START_NAME : LocalSys",Add quotes to service path for AudioEndpointBuilder,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d4a,Unquoted Service Path: Audiosrv,Service Audiosrv has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: Audiosrv
        TYPE               : 10  WIN32_OWN_PROCESS 
        START_TYPE         : 2   AUTO_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
        LOAD_ORDER_GROUP   : AudioGroup
        TAG                : 0
        DISPLAY_NAME       : Windows Audio
        DEPENDENCIES       : AudioEndpointBuilder
                           : RpcSs
        SERV",Add quotes to service path for Audiosrv,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d4b,Unquoted Service Path: BFE,Service BFE has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: BFE
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 2   AUTO_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
        LOAD_ORDER_GROUP   : NetworkProvider
        TAG                : 0
        DISPLAY_NAME       : Base Filtering Engine
        DEPENDENCIES       : RpcSs
        SERVICE_START_NAME : NT AUTHORITY\LocalServi",Add quotes to service path for BFE,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d4c,Unquoted Service Path: BrokerInfrastructure,Service BrokerInfrastructure has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: BrokerInfrastructure
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 2   AUTO_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
        LOAD_ORDER_GROUP   : COM Infrastructure
        TAG                : 0
        DISPLAY_NAME       : Background Tasks Infrastructure Service
        DEPENDENCIES       : RpcEptMapper
                          ",Add quotes to service path for BrokerInfrastructure,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d4d,Unquoted Service Path: BTAGService,Service BTAGService has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: BTAGService
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 3   DEMAND_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted
        LOAD_ORDER_GROUP   : 
        TAG                : 0
        DISPLAY_NAME       : Bluetooth Audio Gateway Service
        DEPENDENCIES       : rpcss
        SERVICE_START_NAME : NT AUTHORITY\LocalSer",Add quotes to service path for BTAGService,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
69120ed6bb4f4be5ac4c1d4e,Unquoted Service Path: BthAvctpSvc,Service BthAvctpSvc has unquoted path vulnerability,medium,service_vulnerability,5.0,"[SC] QueryServiceConfig SUCCESS

SERVICE_NAME: BthAvctpSvc
        TYPE               : 20  WIN32_SHARE_PROCESS 
        START_TYPE         : 3   DEMAND_START
        ERROR_CONTROL      : 1   NORMAL
        BINARY_PATH_NAME   : C:\WINDOWS\system32\svchost.exe -k LocalService -p
        LOAD_ORDER_GROUP   : 
        TAG                : 0
        DISPLAY_NAME       : AVCTP service
        DEPENDENCIES       : rpcss
        SERVICE_START_NAME : NT AUTHORITY\LocalService
",Add quotes to service path for BthAvctpSvc,open,2025-11-10 19:12:06,6912027fca1d6c3522110e11
